更新時間,職務名稱,公司名稱,公司地址,薪資待遇
['2024/04/07'],系統分析師,屏基醫療財團法人屏東基督教醫院,屏東縣屏東市大連路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],系統分析師,盛大資訊股份有限公司,暫不提供地址,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],分析師助理,理財周刊股份有限公司,台北市中正區青島東路,"['月薪 30,000~40,000元']"
['2024/04/04'],系統分析師,中嘉數位股份有限公司,台北市內湖區瑞光路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/03'],解盤分析師,華南永昌綜合證券股份有限公司,台北市松山區民生東路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/02'],房市分析師,中國青年救國團新北市團務指導委員會,新北市板橋區重慶路,['時薪 350~550元']
['2024/04/02'],系統分析師,日盛台駿國際租賃股份有限公司,台北市中山區松江路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],金融分析師,創科發展有限公司,台北市信義區基隆路,['面議（經常性薪資達 4 萬元或以上）']
['2024/03/01'],商業分析師,華南商業銀行股份有限公司,台北市信義區松仁路,"['月薪 50,000元以上']"
['2024/04/05'],系統分析師,全馳科技股份有限公司,新北市中和區中正路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/05'],數據分析師,炘綻國際有限公司,新北市汐止區新台五路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/04'],系統分析師,上洋產業股份有限公司,新北市五股區五權六路,"['月薪 40,000元以上']"
['2024/04/03'],證券分析師,統一綜合證券股份有限公司-總公司 (統一證券),台北市松山區東興路,"['月薪 50,000元以上']"
['2024/03/30'],系統分析師,奇力速工業股份有限公司,新北市新莊區化成路83巷,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],系統分析師,全鼎資訊股份有限公司,台北市中正區青島東路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/06'],系統分析師,觀智宅科技股份有限公司,台北市松山區民生東路四段55巷,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/05'],資料分析師,北方國際有限公司,新北市八里區忠孝路,"['月薪 30,000~45,000元']"
['2024/04/04'],數據分析師,和運租車股份有限公司,台北市中山區松江路,"['月薪 45,000元以上']"
['2024/04/04'],系統分析師,德義資訊股份有限公司,台北市大同區承德路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/04'],市場分析師,峻魁智慧股份有限公司,新竹縣寶山鄉創新一路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/02'],系統分析師,"協勝發鋼鐵廠股份有限公司",高雄市小港區光陽街,"['月薪 46,000元以上']"
['2024/03/29'],分析師助理,"承通證券投資顧問股份有限公司 (承通投顧)",台北市中山區八德路,"['月薪 30,000~35,000元']"
['2024/04/06'],產業分析師 C3,"財團法人塑膠工業技術發展中心",台中市西屯區工業三十八路,"['月薪 38,000~45,000元']"
['2024/04/05'],系統分析師(Java),"炘綻國際有限公司",新北市汐止區新台五路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/04'],.Net 系統分析師,"德義資訊股份有限公司",台北市大同區承德路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/04'],系統分析師 (SA),"雲湧資訊股份有限公司",新北市汐止區新台五路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/02'],T004TC3_系統分析師,"神通資訊科技股份有限公司",台北市內湖區堤頂大道二段187號,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],F4601 財務分析師,"遠傳電信股份有限公司",台北市內湖區瑞光路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],系統分析師(6R),"凌群電腦股份有限公司",台北市萬華區峨嵋街,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],系統分析師(SA),"北祥科技服務股份有限公司",台北市內湖區文湖街,['面議（經常性薪資達 4 萬元或以上）']
['2024/03/31'],C111303-數據分析師,"旺矽科技股份有限公司",新竹縣竹北市中和街,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/04'],113DD045-產業分析師,"財團法人金屬工業研究發展中心","《品牌名稱》金屬中心廣告","['月薪 41,800~70,000元']"
['2024/04/03'],系統分析師 (SA),"力新國際科技股份有限公司",台北市內湖區新湖一路128巷,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],SA系統分析師,"永慶房產集團_永慶房屋仲介股份有限公司",台北市大安區敦化南路,"['月薪 38,000~50,000元']"
['2024/04/02'],AI數據分析師,"萬海航運股份有限公司",台北市內湖區新湖一路,"['月薪 59,000元以上']"
['2024/04/01'],C6251 商業分析師,"遠傳電信股份有限公司",台北市內湖區瑞光路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],數據分析師(6I),"凌群電腦股份有限公司",台北市萬華區峨嵋街,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/01'],系統分析師(L1),"凌群電腦股份有限公司",台北市萬華區峨嵋街,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],數據分析師(碩士),"弈樂科技股份有限公司",台中市西屯區安和東路,"['月薪 44,000~69,000元']"
['2024/04/07'],資深系統分析師,"永信藥品工業股份有限公司",台中市大甲區中山路,"['月薪 40,000~50,000元']"
['2024/04/07'],成本精算分析師,"鄧師傅滷味股份有限公司","《品牌名稱》鄧師傅餐飲事業,鄧師傅功夫菜",['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],數據分析師(學士),"弈樂科技股份有限公司",台中市西屯區安和東路,"['月薪 35,000~60,000元']"
['2024/04/05'],Data Analyst / 資料分析師,"瑞嘉軟體科技股份有限公司",台北市內湖區內湖科技園區瑞湖街,"['月薪 57,750~149,100元']"
['2024/04/03'],營運數據分析師,"鼎泰豐小吃店股份有限公司","《品牌名稱》鼎泰豐",['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],電腦系統分析師,"驊宏資通股份有限公司",台北市中正區北平東路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],系統分析師(台北),"德鴻科技股份有限公司",台北市大同區重慶北路,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],資訊安全分析師,"宇數科技股份有限公司",台北市內湖區堤頂大道二段407巷,['面議（經常性薪資達 4 萬元或以上）']
['2024/04/07'],系統分析師(台北),"群豐資訊科技股份有限公司",台北市南港區八德路四段768巷,"['月薪 40,000~56,000元']"
['2024/04/06'],系統分析師 System Analyst,"Fimmick",新北市新店區區民權路,['面議（經常性薪資達 4 萬元或以上）']
